Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,21627,21627
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,100149,100149
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,16390,16840
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),23878,23878
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,18875,19916
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,20319,20319
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),37578,37578
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,77399,77399
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),122475,122475
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,126538,126538
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Artificial Intelligence for DASA-CIWG (4 Years, Bachelor of Technology)",DASA-CIWG,OPEN,Gender-Neutral,377895,829801
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,215765,250049
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,72391,81510
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),65030,68091
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,90421,90626
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),154740,154740
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,192101,195966
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,209485,215048
